user_id,date,count
0001377647,2014-01-01,2
B004BUCSEQ,2014-01-01,1
B004BTIQ8Y,2014-01-01,2
B004BSLRFO,2014-01-01,1
B004BSIGOY,2014-01-01,1
B004BSHUIW,2014-01-01,1
B004BSHAHI,2014-01-01,1
B004BRP7R4,2014-01-01,2
B004BM39VU,2014-01-01,3
B004BKN7I2,2014-01-01,2
B004BH3P82,2014-01-01,1
B004BDCGPE,2014-01-01,1
B004BD692U,2014-01-01,1
B004BUIT8U,2014-01-01,2
B004BCNWM6,2014-01-01,7
B004BCM8GC,2014-01-01,1
B004BCKNMS,2014-01-01,2
B004BCAQRK,2014-01-01,1
B004BC7NBW,2014-01-01,1
B004B6LWJM,2014-01-01,1
B004B6LREW,2014-01-01,1
B004B5UG9K,2014-01-01,1
B004B4UDTY,2014-01-01,1
B004B4RLJ4,2014-01-01,1
B004B4LCQW,2014-01-01,1
B004B3BCC2,2014-01-01,2
B004B2VTJE,2014-01-01,1
B004BCNVZ4,2014-01-01,1
B004AXOBCG,2014-01-01,2
B004C55HV6,2014-01-01,1
B004CAW6WO,2014-01-01,1
B004EKEK7G,2014-01-01,1
B004EK6UGU,2014-01-01,3
B004EI3ON4,2014-01-01,6
B004EG11FY,2014-01-01,1
B004EF1M2C,2014-01-01,1
B004E1CUO0,2014-01-01,1
B004DKJ8WE,2014-01-01,2
B004DH6GUE,2014-01-01,1
B004DH2F8Q,2014-01-01,3
B004DF3RL2,2014-01-01,1
B004DDO236,2014-01-01,1
B004DD5PDC,2014-01-01,1
B004C9C6R0,2014-01-01,1
B004DD1UKE,2014-01-01,1
B004CTFAWS,2014-01-01,1
B004CTBWXO,2014-01-01,1
B004CSKJW0,2014-01-01,1
B004CQHIQM,2014-01-01,1
B004CNTIY0,2014-01-01,1
B004CE37QO,2014-01-01,1
B004CD16ZY,2014-01-01,1
B004CD0QXC,2014-01-01,1
B004CBS1X6,2014-01-01,1
B004CBPZ26,2014-01-01,1
B004CB2MXQ,2014-01-01,1
B004CAWKXE,2014-01-01,2
B004CYJFOC,2014-01-01,1
B004EOGJR6,2014-01-01,1
B004AWBWO2,2014-01-01,1
B004AV2JZO,2014-01-01,2
B0047ZM7HS,2014-01-01,2
B0047ZLZHG,2014-01-01,1
B0047XRNEC,2014-01-01,1
B0047VD0N2,2014-01-01,1
B0047FIP24,2014-01-01,1
B0047E71VQ,2014-01-01,1
B0047D355I,2014-01-01,1
B0047B83L6,2014-01-01,1
B00474E0OW,2014-01-01,1
B00474AAI2,2014-01-01,1
B0046X9EU4,2014-01-01,1
B0046X7VAO,2014-01-01,4
B0047ZNSU8,2014-01-01,2
B0046Q1788,2014-01-01,1
B0046DU2J6,2014-01-01,1
B004619ELU,2014-01-01,1
B0045QKPAU,2014-01-01,3
B0045QJ7UO,2014-01-01,1
B0045OA6UG,2014-01-01,1
B0045NFY2M,2014-01-01,1
B0045NDTUQ,2014-01-01,6
B0045NAJ72,2014-01-01,3
B0045MOQ7W,2014-01-01,1
B0045L3F16,2014-01-01,1
B0045L0D4I,2014-01-01,2
B0045KYGG0,2014-01-01,1
B0046OBWQ2,2014-01-01,1
B004AW90E6,2014-01-01,1
