user_id,date,count
user_000001,2008-01-01,269
user_000202,2008-01-01,82
user_000882,2008-01-01,970
user_000249,2008-01-01,704
user_000262,2008-01-01,281
user_000874,2008-01-01,1485
user_000319,2008-01-01,1145
user_000329,2008-01-01,5827
user_000807,2008-01-01,400
user_000337,2008-01-01,158
user_000350,2008-01-01,503
user_000802,2008-01-01,971
user_000790,2008-01-01,1705
user_000407,2008-01-01,625
user_000415,2008-01-01,487
user_000787,2008-01-01,741
user_000453,2008-01-01,1247
user_000767,2008-01-01,1445
user_000540,2008-01-01,842
user_000751,2008-01-01,362
user_000707,2008-01-01,1051
user_000709,2008-01-01,379
user_000174,2008-01-01,154
user_000935,2008-01-01,701
user_000716,2008-01-01,11
user_000957,2008-01-01,1047
user_000033,2008-01-01,711
user_000986,2008-01-01,1135
user_000141,2008-01-01,1699
user_000091,2008-01-01,346
user_000019,2008-01-01,209
user_000974,2008-02-01,1272
user_000874,2008-02-01,743
user_000957,2008-02-01,727
user_000319,2008-02-01,1487
user_000019,2008-02-01,17
user_000872,2008-02-01,243
user_000415,2008-02-01,567
user_000141,2008-02-01,1062
user_000262,2008-02-01,849
user_000807,2008-02-01,682
user_000033,2008-02-01,543
user_000337,2008-02-01,23
user_000407,2008-02-01,391
user_000350,2008-02-01,333
user_000790,2008-02-01,1421
user_000802,2008-02-01,206
user_000329,2008-02-01,3912
user_000787,2008-02-01,1110
user_000453,2008-02-01,1403
user_000767,2008-02-01,783
user_000709,2008-02-01,632
user_000935,2008-02-01,368
user_000001,2008-02-01,237
user_000716,2008-02-01,12
user_000174,2008-02-01,538
user_000912,2008-02-01,64
user_000707,2008-02-01,509
user_000202,2008-02-01,131
user_000751,2008-02-01,284
user_000540,2008-02-01,699
user_000880,2008-02-01,65
user_000986,2008-02-01,816
user_000249,2008-02-01,953
user_000882,2008-02-01,864
user_000986,2008-03-01,2271
user_000716,2008-03-01,253
user_000767,2008-03-01,2345
user_000707,2008-03-01,822
user_000751,2008-03-01,439
user_000407,2008-03-01,413
user_000001,2008-03-01,481
user_000787,2008-03-01,1009
user_000453,2008-03-01,778
user_000415,2008-03-01,440
user_000019,2008-03-01,528
user_000540,2008-03-01,931
user_000790,2008-03-01,1172
user_000319,2008-03-01,688
user_000709,2008-03-01,326
user_000374,2008-03-01,227
user_000874,2008-03-01,1172
user_000262,2008-03-01,98
user_000174,2008-03-01,1216
